alpha,round,active_clients,accuracy,loss,gdpr_event
0.1,1,4,0.9606931353740928,0.9778628349304199,None
0.1,2,4,0.9705980482108599,0.948164165019989,None
0.1,3,4,0.9482442238718826,0.9215496182441711,None
0.1,4,3,0.9649122807017544,0.9093121886253357,GDPR_ART17_REVOCATION_CLIENT_1
0.1,5,3,0.9625974658869395,0.8659151196479797,None
0.1,6,3,0.9404239766081871,0.8280873894691467,None
0.1,7,3,0.9334795321637427,0.7948881983757019,None
0.1,8,3,0.9288499025341131,0.7655395865440369,None
0.5,1,4,0.8525413889207606,1.0432097911834717,None
0.5,2,4,0.9115559569325747,1.001065731048584,None
0.5,3,4,0.9106252105070305,0.9631537199020386,None
0.5,4,3,0.8760272804774084,0.9465084075927734,GDPR_ART17_REVOCATION_CLIENT_1
0.5,5,3,0.9166410912190964,0.900753915309906,None
0.5,6,3,0.8875703324808183,0.861015796661377,None
0.5,7,3,0.8586189258312021,0.8263985514640808,None
0.5,8,3,0.8377664109121911,0.7961240410804749,None
1.0,1,4,0.8849219841978463,1.0436614751815796,None
1.0,2,4,0.9075631792873172,0.9919670820236206,None
1.0,3,4,0.9089101032549308,0.9455134868621826,None
1.0,4,3,0.9158294305880513,0.9124441146850586,GDPR_ART17_REVOCATION_CLIENT_1
1.0,5,3,0.9140279676831401,0.8763291239738464,None
1.0,6,3,0.9136233682440579,0.8436552882194519,None
1.0,7,3,0.9132714368576438,0.8140293955802917,None
1.0,8,3,0.9135598381115623,0.7870970368385315,None
10.0,1,4,0.8655779292635952,1.0582650899887085,None
10.0,2,4,0.8862474129945133,1.0059815645217896,None
10.0,3,4,0.8838913406141484,0.958925724029541,None
10.0,4,3,0.8864074887891776,0.9192543029785156,GDPR_ART17_REVOCATION_CLIENT_1
10.0,5,3,0.8877736090077569,0.8815474510192871,None
10.0,6,3,0.8874897398714287,0.8475594520568848,None
10.0,7,3,0.8883882124680146,0.8168487548828125,None
10.0,8,3,0.8894704635502655,0.7890202403068542,None
